sl_no,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary
704,89.34,Others,54.3,Central,Commerce,74.58,Others,No,47.1,Mkt&HR,73.72,Placed,545231.0
705,62.75,Central,61.16,Central,Arts,79.85,Sci&Tech,No,66.59,Mkt&Fin,62.01,Placed,608407.0
706,75.27,Central,74.38,Others,Commerce,80.04,Others,No,68.66,Mkt&Fin,64.82,Placed,590820.0
707,85.64,Others,80.9,Central,Commerce,57.6,Sci&Tech,No,49.67,Mkt&Fin,65.91,Placed,482957.0
708,85.27,Central,67.13,Central,Commerce,52.46,Sci&Tech,No,70.83,Mkt&Fin,63.4,Placed,500701.0
709,69.73,Others,52.81,Others,Commerce,67.95,Others,Yes,75.15,Mkt&HR,75.5,Placed,658844.0
710,71.43,Others,50.21,Others,Science,58.1,Sci&Tech,No,49.13,Mkt&HR,88.44,Placed,475138.0
711,94.76,Central,94.99,Central,Commerce,77.97,Sci&Tech,No,48.97,Mkt&Fin,67.15,Placed,542218.0
712,80.36,Central,67.77,Others,Science,64.27,Others,No,89.67,Mkt&HR,88.93,Placed,606900.0
713,86.66,Others,88.63,Central,Science,67.97,Comm&Mgmt,No,58.06,Mkt&Fin,76.71,Placed,558740.0
714,90.61,Others,69.12,Others,Science,54.54,Comm&Mgmt,No,76.56,Mkt&Fin,74.29,Placed,565397.0
715,85.44,Others,91.12,Others,Arts,72.7,Others,Yes,76.35,Mkt&HR,59.48,Placed,698054.0
716,58.33,Central,49.39,Central,Science,57.42,Comm&Mgmt,Yes,88.67,Mkt&HR,52.52,Placed,672334.0
717,75.3,Central,50.7,Central,Science,77.16,Comm&Mgmt,No,82.91,Mkt&HR,84.08,Placed,642269.0
718,54.59,Others,91.48,Others,Arts,52.85,Sci&Tech,No,88.75,Mkt&HR,72.96,Placed,543403.0
719,79.38,Others,92.37,Central,Commerce,89.04,Comm&Mgmt,Yes,76.26,Mkt&HR,66.58,Placed,751152.0
720,92.99,Central,60.74,Central,Arts,77.38,Sci&Tech,Yes,66.07,Mkt&Fin,82.48,Placed,705184.0
721,73.07,Others,62.76,Others,Arts,57.27,Others,No,62.83,Mkt&Fin,62.42,Placed,522597.0
722,69.48,Others,67.62,Central,Commerce,50.56,Comm&Mgmt,Yes,61.98,Mkt&HR,81.34,Placed,588711.0
723,51.61,Central,65.81,Others,Commerce,63.38,Sci&Tech,Yes,64.27,Mkt&Fin,63.12,Placed,649722.0
724,93.19,Central,54.5,Others,Science,56.11,Others,No,47.5,Mkt&Fin,86.84,Placed,513111.0
725,54.64,Others,89.92,Central,Commerce,58.74,Sci&Tech,No,64.59,Mkt&Fin,60.72,Placed,517197.0
726,51.85,Others,57.67,Central,Science,84.91,Sci&Tech,No,62.59,Mkt&Fin,55.5,Placed,608073.0
727,61.07,Central,80.26,Others,Arts,74.13,Others,No,42.01,Mkt&HR,77.92,Placed,508948.0
728,52.95,Central,48.36,Central,Science,57.06,Others,Yes,55.96,Mkt&Fin,56.51,Not Placed,
729,70.48,Others,46.94,Central,Commerce,72.27,Others,No,83.61,Mkt&HR,87.97,Placed,622383.0
730,73.22,Central,77.69,Central,Commerce,60.23,Comm&Mgmt,Yes,73.52,Mkt&HR,76.22,Placed,652530.0
731,64.07,Others,61.95,Others,Arts,89.05,Others,Yes,86.76,Mkt&HR,59.23,Placed,750631.0
732,52.29,Others,77.77,Central,Commerce,51.31,Sci&Tech,No,71.48,Mkt&HR,58.35,Placed,513659.0
733,55.02,Others,49.7,Others,Science,79.29,Comm&Mgmt,No,89.54,Mkt&Fin,86.96,Placed,622997.0
734,67.3,Central,92.49,Central,Arts,80.92,Sci&Tech,No,86.17,Mkt&HR,74.31,Placed,654073.0
735,52.72,Central,82.43,Others,Commerce,52.69,Comm&Mgmt,Yes,45.7,Mkt&Fin,85.75,Placed,596613.0
736,81.42,Central,88.81,Others,Science,56.87,Sci&Tech,No,96.67,Mkt&Fin,54.41,Placed,569240.0
737,59.32,Others,51.82,Central,Science,65.37,Sci&Tech,No,40.86,Mkt&HR,87.02,Not Placed,
738,63.59,Central,61.01,Others,Commerce,84.73,Comm&Mgmt,No,74.62,Mkt&Fin,70.8,Placed,646280.0
739,67.74,Central,63.42,Central,Science,71.48,Others,No,85.97,Mkt&Fin,76.74,Placed,630313.0
740,68.75,Central,71.86,Central,Science,76.21,Comm&Mgmt,No,59.25,Mkt&Fin,64.92,Not Placed,
741,50.07,Central,59.84,Others,Commerce,81.32,Comm&Mgmt,No,74.72,Mkt&HR,52.37,Placed,629151.0
742,55.04,Central,48.03,Others,Arts,83.12,Comm&Mgmt,No,61.0,Mkt&HR,88.32,Placed,614428.0
743,88.82,Others,63.44,Others,Science,69.05,Comm&Mgmt,No,43.52,Mkt&HR,89.78,Placed,512863.0
744,50.06,Others,57.73,Central,Commerce,70.35,Sci&Tech,No,40.49,Mkt&Fin,64.58,Placed,536778.0
745,72.87,Central,64.3,Central,Arts,78.72,Comm&Mgmt,No,45.5,Mkt&Fin,87.75,Placed,571490.0
746,72.03,Central,54.85,Central,Arts,60.53,Others,Yes,45.71,Mkt&Fin,56.71,Not Placed,
747,64.99,Central,58.09,Central,Commerce,84.18,Sci&Tech,Yes,75.43,Mkt&HR,56.19,Placed,707050.0
748,69.41,Others,76.35,Central,Commerce,50.83,Comm&Mgmt,No,70.5,Mkt&Fin,52.92,Not Placed,
749,85.13,Central,64.41,Others,Science,57.83,Others,No,66.42,Mkt&HR,65.65,Not Placed,
750,87.85,Others,62.27,Central,Science,82.01,Comm&Mgmt,No,80.13,Mkt&Fin,52.09,Placed,648786.0
751,61.72,Central,71.7,Others,Arts,63.61,Sci&Tech,Yes,40.98,Mkt&Fin,65.79,Placed,579912.0
752,64.51,Central,83.59,Central,Science,55.99,Comm&Mgmt,No,55.72,Mkt&HR,55.54,Placed,498279.0
753,60.91,Others,63.94,Central,Science,57.47,Others,No,85.09,Mkt&HR,79.22,Placed,580982.0
754,71.59,Others,74.38,Central,Commerce,71.23,Sci&Tech,No,92.78,Mkt&HR,83.33,Placed,602270.0
755,80.75,Others,93.31,Central,Science,83.85,Comm&Mgmt,Yes,65.42,Mkt&Fin,77.51,Placed,718535.0
756,60.27,Others,71.1,Central,Arts,52.83,Others,No,44.73,Mkt&Fin,58.02,Not Placed,
757,64.88,Others,90.49,Central,Science,51.22,Sci&Tech,Yes,86.33,Mkt&HR,80.67,Placed,627442.0
758,91.87,Others,84.68,Others,Science,68.61,Comm&Mgmt,No,91.34,Mkt&HR,59.98,Placed,600606.0
759,52.19,Central,47.94,Others,Commerce,88.25,Others,Yes,63.99,Mkt&HR,80.38,Placed,729821.0
760,70.73,Central,66.45,Central,Arts,61.16,Comm&Mgmt,Yes,54.11,Mkt&HR,72.7,Placed,635203.0
761,82.02,Central,79.92,Central,Commerce,88.37,Comm&Mgmt,Yes,42.55,Mkt&Fin,64.67,Placed,654274.0
762,56.77,Central,94.34,Central,Commerce,85.51,Sci&Tech,No,74.28,Mkt&HR,53.34,Placed,628282.0
763,52.13,Central,67.92,Central,Commerce,61.33,Others,No,92.77,Mkt&Fin,83.1,Placed,579588.0
764,56.22,Central,49.64,Central,Arts,82.68,Comm&Mgmt,No,79.32,Mkt&HR,87.59,Placed,640857.0
765,91.35,Central,73.1,Central,Science,77.43,Others,No,58.4,Mkt&Fin,76.64,Placed,588124.0
766,50.42,Others,51.33,Others,Arts,70.47,Comm&Mgmt,No,77.29,Mkt&Fin,88.58,Placed,614095.0
767,58.47,Central,82.58,Central,Science,66.92,Comm&Mgmt,No,88.26,Mkt&HR,87.36,Placed,595026.0
768,51.41,Others,70.38,Central,Science,82.62,Comm&Mgmt,No,67.6,Mkt&HR,57.78,Placed,598019.0
769,54.98,Central,81.17,Central,Science,81.72,Others,No,87.55,Mkt&Fin,79.25,Placed,635751.0
770,77.91,Others,88.47,Others,Commerce,80.28,Others,No,62.73,Mkt&HR,63.97,Placed,604359.0
771,60.87,Others,76.45,Central,Science,89.93,Sci&Tech,No,60.21,Mkt&HR,69.5,Placed,612463.0
772,75.61,Central,75.62,Central,Arts,69.14,Others,No,73.81,Mkt&Fin,56.28,Placed,556178.0
773,76.56,Central,82.73,Central,Arts,82.28,Others,Yes,66.95,Mkt&HR,88.99,Placed,728120.0
774,88.22,Others,87.12,Central,Science,84.5,Sci&Tech,No,96.67,Mkt&Fin,79.05,Placed,652045.0
775,50.21,Others,88.45,Central,Arts,58.46,Sci&Tech,Yes,69.95,Mkt&Fin,60.68,Not Placed,
776,88.4,Central,46.82,Others,Arts,51.68,Others,Yes,62.34,Mkt&HR,64.86,Placed,587813.0
777,77.86,Others,72.81,Central,Science,66.19,Others,No,62.91,Mkt&HR,66.9,Placed,551296.0
778,57.32,Others,55.81,Central,Science,84.27,Comm&Mgmt,No,71.78,Mkt&HR,79.9,Placed,611990.0
779,84.78,Central,88.02,Others,Commerce,61.56,Comm&Mgmt,No,60.58,Mkt&HR,87.03,Placed,540179.0
780,88.5,Central,77.42,Central,Commerce,78.0,Others,Yes,81.93,Mkt&HR,62.86,Placed,718009.0
781,61.44,Central,66.01,Central,Arts,50.29,Sci&Tech,No,62.08,Mkt&Fin,68.9,Placed,493397.0
782,91.35,Others,54.41,Central,Commerce,64.21,Sci&Tech,No,62.28,Mkt&HR,73.73,Placed,541039.0
783,70.45,Others,61.95,Others,Science,74.62,Others,No,75.78,Mkt&HR,65.73,Placed,623962.0
784,77.15,Others,80.19,Others,Arts,55.19,Sci&Tech,No,43.53,Mkt&HR,70.17,Not Placed,
785,94.31,Others,55.22,Others,Commerce,85.86,Comm&Mgmt,Yes,78.01,Mkt&HR,54.23,Placed,724586.0
786,66.27,Central,49.68,Others,Arts,56.25,Comm&Mgmt,No,69.29,Mkt&HR,56.71,Placed,510640.0
787,86.59,Central,89.4,Others,Science,86.39,Comm&Mgmt,No,66.28,Mkt&HR,66.04,Placed,628662.0
788,64.33,Central,83.21,Others,Commerce,58.66,Sci&Tech,No,81.72,Mkt&Fin,86.6,Placed,573296.0
789,85.96,Central,54.99,Others,Commerce,89.77,Others,No,83.98,Mkt&Fin,63.97,Placed,667708.0
790,77.03,Others,59.62,Others,Arts,74.19,Others,No,89.08,Mkt&Fin,59.99,Placed,601913.0
791,59.74,Others,93.6,Others,Arts,53.37,Sci&Tech,No,61.74,Mkt&Fin,79.71,Placed,523119.0
792,68.63,Central,80.41,Central,Arts,52.61,Comm&Mgmt,No,58.97,Mkt&Fin,87.97,Not Placed,
793,64.29,Others,75.53,Central,Arts,53.0,Sci&Tech,Yes,81.43,Mkt&HR,68.36,Placed,669110.0
794,53.51,Others,60.38,Others,Commerce,73.6,Sci&Tech,Yes,73.74,Mkt&HR,50.34,Placed,714736.0
795,51.34,Central,59.96,Central,Arts,82.38,Others,No,76.64,Mkt&Fin,77.53,Placed,613578.0
796,65.59,Others,46.98,Central,Commerce,66.12,Comm&Mgmt,No,72.22,Mkt&HR,66.6,Placed,578318.0
797,50.86,Others,81.42,Others,Commerce,67.79,Comm&Mgmt,No,84.82,Mkt&Fin,76.95,Placed,593142.0
798,57.45,Others,47.16,Others,Arts,73.57,Others,No,51.02,Mkt&Fin,61.11,Placed,552547.0
799,82.63,Others,45.24,Others,Science,71.32,Others,No,72.23,Mkt&HR,50.1,Placed,575043.0
800,81.86,Central,81.47,Central,Science,77.52,Others,No,49.17,Mkt&Fin,63.78,Placed,563750.0
801,83.24,Others,92.44,Central,Arts,68.87,Others,No,63.62,Mkt&Fin,78.19,Not Placed,
802,64.27,Central,82.83,Central,Commerce,78.55,Comm&Mgmt,No,78.51,Mkt&Fin,65.72,Placed,625281.0
803,90.05,Others,68.58,Central,Science,89.89,Comm&Mgmt,No,68.6,Mkt&HR,58.77,Placed,652912.0
804,76.72,Central,69.3,Others,Arts,64.01,Sci&Tech,No,62.02,Mkt&HR,68.56,Placed,562655.0
805,55.67,Central,66.81,Central,Science,50.49,Others,No,91.33,Mkt&HR,80.09,Placed,540073.0
806,56.47,Others,61.23,Central,Science,55.03,Sci&Tech,No,84.82,Mkt&HR,54.78,Not Placed,
807,81.19,Central,71.09,Central,Science,72.14,Others,No,70.52,Mkt&Fin,77.67,Placed,598373.0
808,57.78,Central,66.56,Others,Arts,63.77,Others,No,95.1,Mkt&Fin,76.69,Placed,602845.0
809,72.83,Others,74.91,Central,Commerce,87.6,Sci&Tech,Yes,64.61,Mkt&HR,64.83,Placed,722023.0
810,94.63,Central,89.91,Central,Arts,75.1,Others,No,85.71,Mkt&Fin,88.81,Placed,627572.0
811,50.18,Others,94.75,Others,Arts,70.81,Others,No,49.74,Mkt&Fin,85.79,Placed,551229.0
812,50.75,Central,48.94,Others,Arts,81.92,Comm&Mgmt,Yes,56.58,Mkt&HR,62.65,Placed,699060.0
813,94.69,Central,64.23,Central,Science,60.34,Comm&Mgmt,No,59.61,Mkt&HR,51.24,Placed,505361.0
814,76.31,Others,54.04,Others,Science,82.79,Others,No,46.14,Mkt&Fin,62.33,Placed,540701.0
815,55.71,Central,62.61,Others,Science,50.12,Comm&Mgmt,No,69.1,Mkt&Fin,58.19,Not Placed,
816,90.38,Central,59.37,Central,Commerce,74.79,Sci&Tech,No,51.15,Mkt&Fin,71.89,Placed,553020.0
817,89.62,Others,53.73,Central,Arts,87.39,Sci&Tech,Yes,76.78,Mkt&Fin,86.75,Placed,758189.0
818,74.13,Others,83.2,Others,Science,81.51,Others,Yes,51.03,Mkt&Fin,84.81,Placed,679233.0
819,77.98,Central,69.81,Central,Arts,84.15,Comm&Mgmt,No,47.16,Mkt&Fin,62.23,Placed,553564.0
820,62.29,Others,90.96,Others,Commerce,65.88,Sci&Tech,No,96.21,Mkt&HR,67.14,Placed,625920.0
821,52.27,Others,46.63,Others,Arts,82.97,Others,No,78.18,Mkt&Fin,51.46,Placed,628679.0
822,76.76,Others,48.35,Others,Science,72.03,Sci&Tech,No,94.31,Mkt&Fin,71.77,Placed,623149.0
823,63.26,Central,65.16,Others,Arts,74.74,Sci&Tech,No,68.41,Mkt&HR,52.53,Not Placed,
824,79.86,Others,49.01,Central,Commerce,52.36,Comm&Mgmt,Yes,41.94,Mkt&Fin,87.54,Placed,555742.0
825,87.63,Others,58.14,Others,Science,58.06,Sci&Tech,No,73.31,Mkt&Fin,84.68,Placed,551733.0
826,50.82,Others,94.3,Others,Science,72.04,Comm&Mgmt,Yes,72.38,Mkt&HR,58.57,Placed,669987.0
827,76.81,Central,55.45,Central,Science,52.35,Others,No,40.87,Mkt&HR,77.97,Placed,457868.0
828,60.41,Others,54.91,Others,Commerce,79.66,Others,Yes,89.95,Mkt&Fin,72.72,Placed,746770.0
829,89.32,Others,73.68,Central,Science,83.6,Others,No,75.96,Mkt&Fin,82.05,Placed,633889.0
830,61.41,Central,69.9,Central,Commerce,86.81,Sci&Tech,No,83.19,Mkt&Fin,69.03,Placed,672775.0
831,77.48,Others,74.02,Central,Science,54.07,Sci&Tech,No,68.65,Mkt&HR,57.67,Not Placed,
832,74.91,Others,63.84,Central,Commerce,87.59,Others,Yes,75.87,Mkt&Fin,75.59,Placed,759308.0
833,67.83,Central,86.34,Others,Science,52.7,Comm&Mgmt,Yes,54.93,Mkt&HR,53.21,Not Placed,
834,80.49,Others,51.93,Central,Science,68.96,Others,No,96.48,Mkt&HR,73.38,Placed,617837.0
835,82.66,Central,66.42,Central,Commerce,83.61,Sci&Tech,No,63.24,Mkt&HR,58.51,Placed,584314.0
836,75.51,Others,79.49,Others,Arts,52.81,Others,Yes,49.41,Mkt&Fin,77.4,Placed,570142.0
837,84.13,Others,88.41,Others,Arts,50.73,Comm&Mgmt,No,43.24,Mkt&Fin,83.12,Not Placed,
838,94.25,Others,63.48,Central,Commerce,51.0,Others,No,76.9,Mkt&HR,54.38,Placed,546239.0
839,68.87,Central,73.39,Central,Commerce,70.45,Sci&Tech,No,97.04,Mkt&HR,66.01,Placed,636043.0
840,73.16,Others,48.46,Others,Arts,82.46,Comm&Mgmt,Yes,91.96,Mkt&HR,79.34,Placed,767548.0
841,50.56,Central,53.52,Others,Commerce,55.1,Others,No,80.72,Mkt&HR,56.55,Not Placed,
842,85.82,Others,48.46,Others,Arts,54.98,Comm&Mgmt,Yes,97.45,Mkt&HR,72.66,Placed,685106.0
843,73.41,Others,81.39,Others,Science,72.74,Comm&Mgmt,Yes,81.92,Mkt&Fin,76.87,Placed,725748.0
844,68.36,Central,59.4,Central,Science,59.37,Sci&Tech,No,59.68,Mkt&HR,64.19,Placed,516921.0
845,54.23,Central,81.19,Others,Commerce,79.21,Others,No,74.87,Mkt&HR,83.28,Placed,632313.0
846,90.03,Central,48.32,Central,Science,87.99,Sci&Tech,No,44.63,Mkt&HR,70.43,Placed,559419.0
847,67.78,Others,88.13,Central,Commerce,80.64,Comm&Mgmt,No,52.86,Mkt&Fin,75.08,Placed,596576.0
848,80.72,Central,86.78,Others,Science,85.09,Others,Yes,64.22,Mkt&HR,55.63,Placed,722966.0
849,56.72,Central,49.45,Others,Science,70.78,Comm&Mgmt,Yes,51.71,Mkt&HR,50.93,Not Placed,
850,93.27,Central,46.19,Central,Commerce,83.29,Comm&Mgmt,No,95.3,Mkt&Fin,52.03,Placed,671343.0
851,58.03,Central,47.81,Central,Science,57.32,Sci&Tech,No,97.74,Mkt&HR,86.16,Placed,614256.0
852,58.98,Central,87.68,Others,Science,52.73,Comm&Mgmt,No,61.51,Mkt&HR,85.31,Placed,500054.0
853,88.65,Central,56.74,Central,Arts,76.24,Others,Yes,81.14,Mkt&Fin,82.3,Placed,699245.0
854,91.07,Central,72.41,Others,Commerce,52.08,Sci&Tech,Yes,63.65,Mkt&Fin,57.98,Not Placed,
855,59.55,Others,66.31,Central,Arts,85.7,Comm&Mgmt,Yes,48.09,Mkt&Fin,71.02,Placed,658417.0
856,71.14,Central,84.78,Others,Arts,77.66,Comm&Mgmt,No,59.54,Mkt&HR,81.84,Placed,585043.0
857,83.01,Others,69.44,Central,Arts,88.09,Sci&Tech,No,53.54,Mkt&HR,76.99,Not Placed,
858,89.53,Others,70.03,Central,Arts,62.56,Others,No,59.03,Mkt&Fin,54.62,Placed,552201.0
859,67.06,Others,94.45,Central,Science,69.45,Comm&Mgmt,No,52.47,Mkt&Fin,85.82,Placed,561973.0
860,73.27,Central,52.51,Others,Arts,79.67,Sci&Tech,Yes,46.52,Mkt&Fin,56.43,Placed,655770.0
861,83.38,Central,86.54,Others,Arts,59.71,Comm&Mgmt,No,52.61,Mkt&Fin,56.87,Placed,511013.0
862,82.9,Others,47.59,Others,Science,71.67,Others,Yes,92.53,Mkt&Fin,86.04,Placed,722800.0
863,85.23,Others,68.88,Others,Commerce,76.38,Others,No,44.94,Mkt&Fin,69.38,Placed,540281.0
864,75.65,Others,89.32,Central,Science,89.15,Comm&Mgmt,No,58.84,Mkt&Fin,64.92,Placed,631991.0
865,54.71,Central,78.26,Others,Arts,79.79,Comm&Mgmt,No,70.65,Mkt&Fin,72.15,Placed,595025.0
866,90.68,Central,79.26,Others,Arts,54.73,Others,Yes,60.56,Mkt&Fin,89.26,Placed,633299.0
867,88.95,Central,58.17,Others,Science,69.01,Sci&Tech,No,70.02,Mkt&Fin,54.79,Placed,579590.0
868,85.91,Central,65.93,Others,Commerce,73.55,Sci&Tech,No,42.52,Mkt&HR,80.28,Placed,553728.0
869,54.49,Others,63.33,Others,Arts,55.86,Comm&Mgmt,Yes,77.62,Mkt&Fin,63.37,Placed,653424.0
870,59.2,Central,71.07,Others,Commerce,67.28,Comm&Mgmt,Yes,72.68,Mkt&HR,54.68,Placed,688144.0
871,83.46,Central,68.11,Others,Commerce,61.36,Comm&Mgmt,No,79.5,Mkt&HR,66.88,Placed,567578.0
872,51.04,Others,61.34,Central,Science,54.75,Sci&Tech,Yes,72.9,Mkt&HR,71.95,Placed,633170.0
873,94.07,Others,60.27,Others,Arts,70.48,Others,Yes,65.4,Mkt&Fin,58.24,Placed,655114.0
874,66.97,Central,57.54,Central,Commerce,56.63,Comm&Mgmt,Yes,60.31,Mkt&HR,66.21,Placed,601024.0
875,82.37,Central,63.25,Others,Science,73.62,Others,Yes,53.13,Mkt&HR,75.43,Placed,629004.0
876,89.94,Others,52.5,Central,Commerce,56.79,Others,No,69.0,Mkt&HR,73.06,Placed,527542.0
877,67.76,Others,88.61,Others,Science,78.94,Others,No,41.51,Mkt&HR,78.93,Placed,569226.0
878,64.36,Others,75.11,Central,Commerce,57.81,Comm&Mgmt,Yes,59.04,Mkt&HR,83.46,Placed,638424.0
879,77.39,Others,51.69,Others,Science,85.85,Comm&Mgmt,No,79.32,Mkt&HR,66.37,Placed,650700.0
880,76.14,Others,79.69,Central,Science,51.05,Sci&Tech,Yes,46.31,Mkt&Fin,66.92,Placed,563947.0
881,68.41,Central,87.38,Central,Commerce,70.88,Comm&Mgmt,Yes,43.65,Mkt&HR,69.87,Placed,625958.0
882,77.08,Central,56.88,Others,Commerce,62.8,Others,Yes,77.83,Mkt&Fin,72.65,Placed,681895.0
883,92.09,Others,52.53,Others,Arts,59.0,Comm&Mgmt,No,63.07,Mkt&Fin,54.33,Placed,503240.0
884,71.04,Central,45.43,Central,Commerce,68.86,Sci&Tech,No,86.51,Mkt&Fin,62.51,Placed,625750.0
885,58.85,Central,47.36,Central,Commerce,83.68,Sci&Tech,No,94.36,Mkt&Fin,56.88,Placed,683282.0
886,66.97,Central,83.11,Others,Commerce,86.61,Comm&Mgmt,Yes,95.51,Mkt&Fin,65.43,Placed,799369.0
887,67.73,Others,94.36,Others,Arts,62.13,Comm&Mgmt,Yes,64.68,Mkt&Fin,88.93,Placed,620467.0
888,55.9,Central,47.24,Central,Science,56.17,Others,Yes,55.33,Mkt&HR,73.31,Not Placed,
889,57.33,Central,82.4,Others,Commerce,78.81,Others,No,75.3,Mkt&Fin,67.18,Placed,617704.0
890,80.81,Central,48.59,Central,Arts,73.28,Comm&Mgmt,Yes,76.44,Mkt&HR,72.64,Placed,700472.0
891,65.28,Central,74.61,Others,Commerce,58.04,Comm&Mgmt,No,76.1,Mkt&Fin,76.76,Placed,535296.0
892,92.97,Others,82.8,Central,Science,80.41,Others,No,58.66,Mkt&Fin,67.4,Placed,583144.0
893,60.96,Central,62.96,Central,Commerce,70.76,Sci&Tech,No,43.7,Mkt&Fin,67.91,Placed,517845.0
894,54.45,Others,45.55,Central,Arts,76.14,Comm&Mgmt,No,52.18,Mkt&Fin,78.06,Not Placed,
895,83.91,Central,74.76,Others,Arts,64.37,Comm&Mgmt,Yes,48.96,Mkt&HR,52.43,Not Placed,
896,89.65,Others,94.56,Others,Arts,67.56,Others,No,47.19,Mkt&HR,71.6,Placed,507968.0
897,62.52,Others,57.88,Central,Commerce,57.21,Others,Yes,93.72,Mkt&Fin,71.89,Placed,706388.0
898,59.09,Others,54.47,Others,Commerce,80.26,Comm&Mgmt,No,40.8,Mkt&HR,80.27,Placed,531756.0
899,58.36,Others,51.2,Others,Arts,56.28,Comm&Mgmt,No,74.91,Mkt&HR,89.31,Placed,563884.0
900,73.49,Central,72.76,Others,Arts,81.13,Others,Yes,94.95,Mkt&HR,81.83,Placed,781449.0
901,71.08,Others,74.82,Others,Commerce,81.92,Comm&Mgmt,No,60.88,Mkt&Fin,70.15,Placed,582887.0
902,61.67,Others,84.61,Central,Arts,79.86,Sci&Tech,Yes,70.57,Mkt&HR,56.78,Placed,715179.0
903,52.03,Others,82.65,Central,Arts,50.78,Sci&Tech,Yes,80.36,Mkt&Fin,73.53,Not Placed,
904,71.67,Others,89.63,Others,Science,60.93,Others,No,58.4,Mkt&HR,83.37,Placed,526405.0
905,93.17,Others,85.29,Central,Science,68.73,Comm&Mgmt,No,67.7,Mkt&HR,87.3,Placed,576439.0
906,79.36,Others,57.36,Central,Commerce,73.82,Sci&Tech,No,87.39,Mkt&HR,83.01,Placed,602841.0
907,72.3,Others,72.79,Central,Commerce,86.77,Others,No,83.23,Mkt&HR,57.56,Placed,652571.0
908,54.98,Others,59.87,Others,Commerce,65.02,Others,No,86.89,Mkt&Fin,78.5,Placed,594502.0
909,61.36,Central,61.49,Others,Commerce,85.0,Comm&Mgmt,Yes,97.27,Mkt&Fin,85.21,Placed,777863.0
910,63.26,Central,91.6,Others,Arts,56.54,Sci&Tech,Yes,61.48,Mkt&Fin,77.24,Placed,639791.0
911,84.42,Central,79.09,Central,Science,64.85,Others,No,83.33,Mkt&HR,77.43,Placed,602444.0
912,89.45,Central,93.73,Central,Arts,52.09,Sci&Tech,Yes,74.96,Mkt&Fin,70.01,Placed,636334.0
913,90.57,Central,65.85,Others,Commerce,79.7,Comm&Mgmt,No,78.66,Mkt&Fin,75.48,Placed,616586.0
914,94.31,Central,71.87,Central,Arts,56.03,Others,Yes,82.91,Mkt&Fin,61.78,Placed,654141.0
915,94.21,Central,69.36,Others,Commerce,60.28,Comm&Mgmt,Yes,83.48,Mkt&Fin,53.55,Placed,648808.0
916,92.88,Central,50.36,Central,Arts,81.01,Sci&Tech,No,91.37,Mkt&Fin,83.11,Placed,653325.0
917,53.23,Others,56.84,Central,Commerce,71.39,Sci&Tech,No,60.26,Mkt&Fin,87.73,Placed,547312.0
918,56.2,Others,71.38,Central,Commerce,50.56,Comm&Mgmt,No,77.9,Mkt&HR,84.27,Placed,551787.0
919,63.7,Others,48.37,Others,Commerce,50.09,Others,No,56.26,Mkt&HR,63.36,Not Placed,
920,74.88,Central,91.57,Others,Arts,70.43,Others,Yes,74.48,Mkt&Fin,53.74,Placed,705892.0
921,54.36,Central,51.19,Central,Commerce,62.2,Sci&Tech,No,83.57,Mkt&Fin,61.21,Placed,603530.0
922,88.06,Others,54.9,Others,Science,57.21,Sci&Tech,Yes,85.88,Mkt&HR,83.71,Placed,663394.0
923,77.75,Central,83.27,Others,Science,74.54,Others,No,64.37,Mkt&HR,76.23,Not Placed,
924,74.41,Others,49.85,Others,Arts,59.14,Sci&Tech,Yes,69.51,Mkt&Fin,88.67,Placed,646843.0
925,57.44,Central,90.01,Others,Science,73.69,Sci&Tech,No,59.36,Mkt&Fin,63.71,Placed,561315.0
926,61.4,Central,81.29,Central,Commerce,65.17,Comm&Mgmt,Yes,49.8,Mkt&HR,72.06,Not Placed,
927,57.21,Others,48.43,Others,Science,57.47,Comm&Mgmt,No,55.11,Mkt&Fin,81.6,Placed,517986.0
928,88.34,Central,79.59,Others,Commerce,55.52,Sci&Tech,No,92.9,Mkt&Fin,59.36,Placed,574914.0
929,76.29,Central,76.58,Central,Arts,59.47,Sci&Tech,No,57.92,Mkt&Fin,88.56,Placed,541342.0
930,83.08,Others,82.87,Central,Arts,51.19,Sci&Tech,Yes,96.54,Mkt&Fin,73.7,Not Placed,
931,63.32,Central,86.41,Others,Commerce,62.33,Comm&Mgmt,No,54.01,Mkt&HR,50.32,Not Placed,
932,66.71,Others,80.92,Others,Arts,86.08,Sci&Tech,Yes,81.94,Mkt&HR,51.01,Placed,748693.0
933,68.22,Central,74.31,Central,Commerce,83.25,Sci&Tech,Yes,73.29,Mkt&Fin,85.29,Placed,741722.0
934,84.2,Central,61.12,Central,Science,64.88,Comm&Mgmt,Yes,80.42,Mkt&HR,75.81,Placed,684392.0
935,84.76,Others,79.86,Others,Science,73.03,Sci&Tech,Yes,77.35,Mkt&HR,80.52,Placed,677242.0
936,59.31,Central,92.85,Central,Commerce,72.69,Sci&Tech,No,80.99,Mkt&HR,81.36,Placed,596941.0
937,92.37,Others,74.38,Central,Science,83.15,Comm&Mgmt,Yes,92.52,Mkt&Fin,66.82,Placed,778794.0
938,55.43,Others,78.22,Others,Commerce,59.45,Sci&Tech,No,72.68,Mkt&Fin,81.94,Placed,537315.0
